GEOID	ALAND	AWATER	ALAND_SQMI	AWATER_SQMI	INTPTLAT	INTPTLONG
01032	30467676	887486	11.764	0.343	42.457613	-72.81478
01033	72039732	666977	27.815	0.258	42.244949	-72.500143
01034	185539400	5094840	71.637	1.967	42.093912	-72.961103
01035	59785375	3940193	23.083	1.521	42.356491	-72.568632
01036	50464357	77618	19.484	0.03	42.071188	-72.417718
01037	36534057	3961964	14.106	1.53	42.376036	-72.197364
01038	25871790	2247736	9.989	0.868	42.379925	-72.604045
01039	34227443	599296	13.215	0.231	42.404287	-72.688924
01040	54816657	4343765	21.165	1.677	42.211658	-72.642448
01050	99263985	2581892	38.326	0.997	42.286762	-72.869695
01053	13289902	251888	5.131	0.097	42.356301	-72.713584
01054	59026773	425598	22.79	0.164	42.468898	-72.484579
01056	70436044	2953496	27.196	1.14	42.183577	-72.457812
01057	116418495	1463275	44.949	0.565	42.093596	-72.321494
01060	28294446	3250349	10.925	1.255	42.321251	-72.630395
01062	47016296	396836	18.153	0.153	42.323033	-72.701789
01063	100502	0	0.039	0.	42.318882	-72.63853
01066	1842125	117510	0.711	0.045	42.406909	-72.655015
01068	53925831	1033076	20.821	0.399	42.350862	-72.044248
01069	72749311	750681	28.089	0.29	42.188862	-72.30648
01070	53343561	596478	20.596	0.23	42.518446	-72.919017
01071	40310831	815688	15.564	0.315	42.160064	-72.87384
01072	51998763	1348280	20.077	0.521	42.456968	-72.417244
01073	72918698	2082889	28.154	0.804	42.226949	-72.741588
01074	220264	52379	0.085	0.02	42.386579	-72.093034
01075	45885680	1759523	17.717	0.679	42.256532	-72.580248
01077	79831033	2140144	30.823	0.826	42.05257	-72.777353
01079	2913267	116786	1.125	0.045	42.194327	-72.328888
01080	4472243	256694	1.727	0.099	42.185727	-72.361558
01081	37594975	564877	14.516	0.218	42.061313	-72.234411
01082	119469885	16191467	46.128	6.252	42.299749	-72.279164
01083	40799386	156564	15.753	0.06	42.206554	-72.196449
01084	23799816	221546	9.189	0.086	42.39237	-72.882235
01085	154654081	2941614	59.712	1.136	42.153503	-72.771602
01086	96152	0	0.037	0.	42.130446	-72.793967
01088	13456517	36980	5.196	0.014	42.391709	-72.646494
01089	43324802	2075899	16.728	0.802	42.125451	-72.649734
01092	17375638	80681	6.709	0.031	42.191868	-72.235108
01093	13060370	16677	5.043	0.006	42.443805	-72.661514
01094	2957300	172820	1.142	0.067	42.359108	-72.1368
01095	58261405	756734	22.495	0.292	42.138527	-72.420703
01096	82011338	533919	31.665	0.206	42.397138	-72.763554
01097	4852535	208842	1.874	0.081	42.178038	-72.832612
01098	81230628	390512	31.363	0.151	42.394315	-72.943115
01103	1191846	205543	0.46	0.079	42.104106	-72.592027
01104	13509676	213696	5.216	0.083	42.134009	-72.565378
01105	3219039	306958	1.243	0.119	42.099958	-72.580765
01106	24016633	1339849	9.273	0.517	42.048054	-72.569275
01107	3903485	89741	1.507	0.035	42.12106	-72.607068
01108	9648068	404957	3.725	0.156	42.080692	-72.560791
01109	14098835	484017	5.444	0.187	42.119674	-72.549726
01118	9312240	260881	3.595	0.101	42.094587	-72.525219
01119	9194302	241735	3.55	0.093	42.124978	-72.51121
01128	2887375	1287	1.115	0.	42.092296	-72.489135
01129	8875277	237885	3.427	0.092	42.118671	-72.488203
01151	6135002	479310	2.369	0.185	42.15186	-72.509131
01199	28277	0	0.011	0.	42.120563	-72.604468
01201	137107355	6748010	52.937	2.605	42.448236	-73.273727
01220	63690789	189770	24.591	0.073	42.623808	-73.116741
01222	8566364	332862	3.307	0.129	42.058703	-73.322175
01223	180707011	5295455	69.771	2.045	42.312225	-73.110124
01224	720507	82246	0.278	0.032	42.513163	-73.195743
01225	65032903	1827514	25.109	0.706	42.563401	-73.153335
01226	68283437	366481	26.364	0.141	42.481119	-73.135073
01229	1899055	0	0.733	0.	42.277932	-73.332032
01230	237021545	4530148	91.515	1.749	42.173196	-73.32429
01235	118234579	2794601	45.651	1.079	42.425677	-73.063028
01236	12442170	157973	4.804	0.061	42.266496	-73.378393
01237	160151858	1132956	61.835	0.437	42.549804	-73.261144
01238	90220995	2706102	34.835	1.045	42.297501	-73.230148
01240	55367242	1155163	21.377	0.446	42.367858	-73.269763
01242	1289555	25168	0.498	0.01	42.333734	-73.249199
01243	48254410	58573	18.631	0.023	42.350122	-73.024112
01244	6345197	70886	2.45	0.027	42.118094	-73.257497
01245	72481256	2048210	27.985	0.791	42.186893	-73.223105
01247	136057208	1469313	52.532	0.567	42.698526	-73.0843
01253	47363256	1053686	18.287	0.407	42.206683	-73.113214
01254	37764323	148218	14.581	0.057	42.382019	-73.365492
01255	134158275	2978008	51.799	1.15	42.107496	-73.118607
01256	92861201	469863	35.854	0.181	42.594166	-73.02232
01257	93799712	2222469	36.216	0.858	42.085244	-73.367483
01258	66907254	399783	25.833	0.154	42.10928	-73.462886
01259	65561875	2041637	25.314	0.788	42.06926	-73.228949
01260	6503634	101867	2.511	0.039	42.295695	-73.342544
01262	31177103	2126240	12.038	0.821	42.292202	-73.319209
01264	29375249	90082	11.342	0.035	42.23159	-73.202428
01266	67475967	780826	26.053	0.301	42.312354	-73.388044
01267	141216442	327643	54.524	0.127	42.671617	-73.246981
01270	82502023	420999	31.854	0.163	42.515272	-73.031166
01301	66030423	1401484	25.494	0.541	42.626761	-72.60153
01330	86290627	631182	33.317	0.244	42.513947	-72.821517
01331	137854216	3586988	53.226	1.385	42.562394	-72.191044
01337	96461504	158781	37.244	0.061	42.689307	-72.582289
01338	8939935	12299	3.452	0.005	42.572488	-72.824145
01339	142263164	627967	54.928	0.242	42.603776	-72.889644
01340	113400515	668368	43.784	0.258	42.694731	-72.710956
01341	92502841	439061	35.716	0.17	42.492124	-72.709827
01342	46226681	2178377	17.848	0.841	42.543889	-72.609458
01343	12606096	91982	4.867	0.036	42.657625	-72.978933
01344	35252180	1376859	13.611	0.532	42.613418	-72.426428
01346	55312725	95459	21.356	0.037	42.693268	-72.823116
01347	1499173	216951	0.579	0.084	42.559294	-72.518753
01349	19913508	543961	7.689	0.21	42.563061	-72.482115
01350	27739553	309337	10.71	0.119	42.727772	-72.985346
01351	54211278	1127581	20.931	0.435	42.53988	-72.521689
01354	35664167	2667724	13.77	1.03	42.624101	-72.508607
01355	122669025	35775539	47.363	13.813	42.458551	-72.327191
01360	88741275	2814849	34.263	1.087	42.677091	-72.453876
01364	101542347	2916767	39.206	1.126	42.605437	-72.292074
01366	104578989	1454149	40.378	0.561	42.475621	-72.192468
01367	68731360	1755225	26.537	0.678	42.695532	-72.909148
01368	108363591	1835155	41.839	0.709	42.679456	-72.176935
01370	129047865	1434021	49.826	0.554	42.593376	-72.726928
01373	62598287	1475840	24.169	0.57	42.475481	-72.615403
01375	36831825	1342036	14.221	0.518	42.466691	-72.546751
01376	7108442	1483126	2.745	0.573	42.59528	-72.555002
01378	88128752	812634	34.027	0.314	42.673533	-72.353213
01379	78225204	972106	30.203	0.375	42.556308	-72.407153
01420	78509913	1793220	30.313	0.692	42.584925	-71.816862
01430	95695056	6792335	36.948	2.623	42.658741	-71.932918
01431	61290098	1000254	23.664	0.386	42.676293	-71.832523
01432	21939378	1211472	8.471	0.468	42.564663	-71.567298
01434	13669088	401234	5.278	0.155	42.539753	-71.61233
01436	24838128	511069	9.59	0.197	42.602059	-72.087015
01438	1403967	48433	0.542	0.019	42.562058	-72.031694
01440	62245169	2515597	24.033	0.971	42.588337	-71.986069
01450	84886541	2605628	32.775	1.006	42.611636	-71.564743
01451	49617973	1626301	19.158	0.628	42.501908	-71.568201
01452	106330883	2404684	41.055	0.928	42.495111	-72.002339
01453	73757607	1360201	28.478	0.525	42.519967	-71.763319
01460	42775107	2573791	16.516	0.994	42.535931	-71.490569
01462	68344667	3516270	26.388	1.358	42.582607	-71.720464
01463	58485771	1531158	22.581	0.591	42.670643	-71.602858
01464	38791621	204892	14.978	0.079	42.573654	-71.640986
01467	4891512	34600	1.889	0.013	42.489495	-71.609346
01468	55435848	697493	21.404	0.269	42.542767	-72.068345
01469	59006708	587943	22.783	0.227	42.664794	-71.695055
01473	91788664	4700075	35.44	1.815	42.5546	-71.90544
01474	25720068	78185	9.931	0.03	42.669685	-71.752751
01475	110962385	2725930	42.843	1.052	42.66816	-72.055644
01501	40042635	2404900	15.461	0.929	42.198867	-71.845722
01503	33600463	521374	12.973	0.201	42.384929	-71.633889
01504	28774247	825566	11.11	0.319	42.039991	-71.532406
01505	41588110	9556292	16.057	3.69	42.355049	-71.716157
01506	40215007	2736395	15.527	1.057	42.180807	-72.107888
01507	109242811	4180299	42.179	1.614	42.133935	-71.968025
01510	14640558	4176666	5.653	1.613	42.411887	-71.690005
01515	25547237	1447029	9.864	0.559	42.209682	-72.040178
01516	95314609	3941714	36.801	1.522	42.053072	-71.752241
01518	23006297	1928708	8.883	0.745	42.127477	-72.118818
01519	28272672	279340	10.916	0.108	42.203404	-71.679739
01520	46822255	1802446	18.078	0.696	42.336385	-71.850759
01521	31821352	1990947	12.286	0.769	42.046783	-72.180212
01522	42423768	1400937	16.38	0.541	42.375634	-71.867382
01523	65273335	1166195	25.202	0.45	42.483569	-71.675585
01524	41394105	2490237	15.982	0.961	42.245361	-71.914957
01525	1162429	81164	0.449	0.031	42.106794	-71.630518
01527	40343795	1864821	15.577	0.72	42.192246	-71.777649
01529	12596930	143333	4.864	0.055	42.036642	-71.578779
01531	53773239	403233	20.762	0.156	42.326183	-72.133431
01532	47840582	705399	18.471	0.272	42.323342	-71.646236
01534	22684037	325551	8.758	0.126	42.142074	-71.643348
01535	55085933	1756793	21.269	0.678	42.267564	-72.066876
01536	21589142	748438	8.336	0.289	42.231309	-71.692642
01537	18084547	295746	6.982	0.114	42.158966	-71.897051
01540	50104199	2048496	19.345	0.791	42.116263	-71.857465
01541	91767861	1032232	35.432	0.399	42.454125	-71.87754
01542	10428066	422663	4.026	0.163	42.204251	-71.908907
01543	90974490	2946993	35.125	1.138	42.388285	-71.969865
01545	53731973	2715736	20.746	1.049	42.284767	-71.714228
01550	52418640	1612119	20.239	0.622	42.059737	-72.033908
01560	9225421	270460	3.562	0.104	42.175395	-71.674223
01561	319275	0	0.123	0.	42.44397	-71.685583
01562	85084292	3005405	32.851	1.16	42.247211	-71.991867
01564	79294834	2752995	30.616	1.063	42.447924	-71.776045
01566	73421209	2569033	28.348	0.992	42.103214	-72.079545
01568	55569958	610404	21.456	0.236	42.176526	-71.603588
01569	75310383	1580615	29.078	0.61	42.055921	-71.631128
01570	32005195	5800874	12.357	2.24	42.047075	-71.845805
01571	53955588	2743000	20.832	1.059	42.053778	-71.935075
01581	53357657	2228807	20.602	0.861	42.268426	-71.613309
01583	32680586	2356117	12.618	0.91	42.369417	-71.785036
01585	66167925	1669172	25.548	0.644	42.240796	-72.162645
01588	22296242	1649001	8.609	0.637	42.1188	-71.672496
01590	82927105	4163889	32.018	1.608	42.132051	-71.750318
01602	14939179	631588	5.768	0.244	42.269189	-71.850728
01603	11689587	337226	4.513	0.13	42.243826	-71.843569
01604	16675652	477122	6.439	0.184	42.253485	-71.767932
01605	14610443	341303	5.641	0.132	42.289683	-71.787793
01606	15353891	24033	5.928	0.009	42.315249	-71.795741
01607	8192128	136195	3.163	0.053	42.225974	-71.788894
01608	1159107	0	0.448	0.	42.26198	-71.801462
01609	9896464	56961	3.821	0.022	42.285114	-71.829987
01610	5501916	9032	2.124	0.003	42.247049	-71.808366
01611	8914392	647960	3.442	0.25	42.237604	-71.875838
01612	39662272	1981211	15.314	0.765	42.296798	-71.928991
01701	43944779	1817823	16.967	0.702	42.319587	-71.4428
01702	20951471	1972409	8.089	0.762	42.282379	-71.436623
01718	120260	0	0.046	0.	42.519818	-71.429286
01719	26638827	317226	10.285	0.122	42.485985	-71.520985
01720	51059959	1114409	19.714	0.43	42.483953	-71.438495
01721	31954435	1389649	12.338	0.537	42.257755	-71.473526
01730	35488956	459649	13.702	0.177	42.499332	-71.281901
01731	2051823	0	0.792	0.	42.456754	-71.279477
01740	51659823	346103	19.946	0.134	42.439933	-71.601885
01741	39560352	644108	15.274	0.249	42.536807	-71.361324
01742	63287927	3361032	24.436	1.298	42.462911	-71.364496
01745	1033542	3023	0.399	0.001	42.292114	-71.499197
01746	48312679	1035601	18.654	0.4	42.195951	-71.45343
01747	13404312	438296	5.175	0.169	42.123007	-71.531404
01748	67922993	4220310	26.225	1.629	42.224096	-71.540489
01749	29854085	878283	11.527	0.339	42.389071	-71.545864
01752	54039303	3203986	20.865	1.237	42.349617	-71.547214
01754	13492063	402677	5.209	0.155	42.425955	-71.456256
01756	46029781	551900	17.772	0.213	42.09387	-71.544519
01757	38578290	706495	14.895	0.273	42.158692	-71.521419
01760	38375922	2588209	14.817	0.999	42.284822	-71.348811
01770	40891480	962029	15.788	0.371	42.231947	-71.372963
01772	35233937	3917459	13.604	1.513	42.302877	-71.530828
01773	35278118	2008849	13.621	0.776	42.425506	-71.310812
01775	44865749	1740354	17.323	0.672	42.429688	-71.512514
01776	62779581	1256904	24.239	0.485	42.383367	-71.42107
01778	39384650	2079661	15.206	0.803	42.356275	-71.361942
01801	32807665	761146	12.667	0.294	42.488703	-71.154383
01803	30326680	294382	11.709	0.114	42.503227	-71.201713
01810	79847696	3432203	30.829	1.325	42.648044	-71.161751
01821	42907187	1017235	16.567	0.393	42.54933	-71.251725
01824	46001938	978920	17.761	0.378	42.59079	-71.355182
01826	53530892	1711311	20.668	0.661	42.679723	-71.30068
