id,program_id,contact_id,webvisible
201,5097,2052,1
202,5072,5021,1
203,5104,3568,0
204,5112,4982,1
205,5112,5058,0
206,5229,5201,1
207,5234,3506,1
208,5234,3507,0
209,5286,5222,1
210,3757,3909,1
211,3761,1758,1
212,3768,1771,1
213,39,563,0
214,39,2505,0
215,65,914,0
216,65,1037,0
217,65,3749,1
218,65,2468,0
219,85,130,1
220,3527,1713,0
221,3536,3927,0
222,3825,4010,1
223,3825,4009,1
225,3838,4619,0
226,3838,5131,1
227,4463,4522,1
228,4465,4522,1
229,4479,2352,1
231,4505,4545,1
232,4603,4629,1
233,4623,4648,1
234,4637,3897,0
235,4637,2017,1
236,4681,3794,0
237,4681,4683,1
238,5311,5264,1
239,4698,3987,1
240,4698,5531,0
241,4699,3322,1
242,4700,4693,1
243,4790,4754,1
244,4823,2045,1
245,4826,1922,0
246,4826,1919,1
247,4827,4771,1
248,4856,4938,1
249,5316,5268,1
250,5316,5269,1
251,5413,5397,1
252,5416,5403,1
253,5416,5646,0
254,5442,4810,1
255,5443,5421,1
256,5443,5650,0
257,5446,5406,1
258,5446,5716,0
259,3540,3713,0
260,3540,4335,1
261,3550,3722,0
262,3552,3726,1
263,3583,1638,0
264,3583,3927,1
265,3614,3788,1
266,3617,3791,1
267,1177,706,0
269,1177,4131,1
270,1177,5344,1
271,3849,3918,1
272,3849,4427,1
273,3859,4034,1
276,4165,3697,0
277,4165,4297,0
278,4165,4299,1
279,4219,4356,1
280,4224,3463,1
281,4507,202,1
282,1799,1715,1
284,1800,2062,0
285,2440,2594,0
286,2440,2595,1
287,2444,2606,1
288,2444,5670,1
289,3633,3804,0
290,3633,4358,1
291,2532,2702,1
292,2532,3467,0
293,2564,2730,1
294,2684,2859,1
295,3656,3827,1
296,3883,3424,1
297,3892,4057,1
298,4514,3749,1
299,5018,4760,1
300,5299,4696,1
301,5299,4694,0
302,5344,5292,1
303,5662,2560,1
304,3830,4010,1
305,3830,4005,1
306,3831,4547,1
307,3831,4011,1
308,3831,4546,1
