utility_id,zipcode_id
3020,1176
432,1178
1814,1178
2182,1178
1814,1179
3020,1179
432,1180
1814,1180
2182,1180
3020,1180
1814,1182
2182,1182
432,1183
1031,1183
1814,1183
2182,1183
3020,1183
1814,1184
2182,1184
3020,1184
432,1185
1814,1185
2182,1185
3020,1185
432,1186
1814,1186
2182,1186
432,1187
1814,1187
2182,1187
1814,1188
2182,1188
432,1189
1031,1189
1814,1189
2182,1189
3020,1189
1814,1190
2182,1190
1031,1191
1814,1191
3020,1191
432,1192
1031,1192
1814,1192
2182,1192
2955,1192
3020,1192
425,1193
2182,1193
2182,1195
1814,1198
2182,1198
1814,1199
1598,1200
2182,1200
3020,1200
3133,1200
1814,1201
2182,1201
425,1202
1814,1202
2182,1202
1814,1203
2182,1203
2182,1204
1814,1205
2182,1205
2182,1206
1814,1207
2182,1207
1814,1208
2182,1208
3133,1208
2182,1209
2182,1212
1814,1213
2182,1213
2182,1214
2182,1215
3133,1215
1598,1216
3133,1216
425,1217
1814,1217
2182,1217
2182,1218
2182,1219
3133,1219
2182,1220
425,1221
1814,1221
2182,1221
1814,1222
2182,1222
1814,1223
2182,1224
2182,1225
1814,1226
2182,1226
3133,1226
2182,1227
3133,1227
3133,1229
1814,1230
2182,1230
1814,1231
2182,1233
3133,1233
1814,1234
2182,1234
425,1236
2182,1236
425,1237
2182,1237
1814,1238
2182,1239
1814,1240
2182,1240
2182,1241
3133,1241
1814,1242
2182,1242
1598,1243
1637,1243
3133,1243
1814,1245
2182,1245
1814,1246
2182,1246
2182,1247
3133,1247
1814,1248
2182,1248
1598,1249
1637,1249
2182,1249
3133,1249
2182,1251
425,1252
2182,1252
425,1253
2182,1253
2182,1254
2182,1255
425,1256
1814,1256
2182,1256
2944,1256
1814,1257
2182,1257
3133,1257
1598,1258
3133,1258
1814,1259
2182,1259
425,1260
2182,1260
425,1261
2182,1261
1814,1262
2182,1262
2182,1263
2182,1264
3133,1264
1814,1265
2182,1265
2182,1266
1814,1267
2182,1267
1814,1268
2182,1268
2944,1268
1814,1270
2182,1270
425,1271
2182,1271
425,1272
425,1273
425,1274
425,1275
425,1276
425,1277
425,1278
425,1279
425,1282
2182,1282
425,1283
1326,1283
425,1284
425,1286
425,1289
425,1290
425,1291
425,1292
425,1295
425,1299
425,1300
425,1301
425,1302
425,1303
2182,1303
425,1305
425,1306
425,1307
425,1310
425,1311
425,1312
425,1313
425,1314
425,1315
425,1316
1326,1316
425,1317
1326,1317
425,1318
425,1319
425,1320
425,1322
425,1323
425,1324
425,1325
425,1327
425,1328
425,1329
425,1330
425,1331
425,1332
425,1333
425,1335
425,1336
425,1337
1326,1337
425,1338
425,1340
425,1343
425,1345
425,1346
425,1347
425,1348
425,1349
425,1350
425,1351
1326,1351
425,1352
425,1353
425,1354
425,1356
425,1357
425,1358
425,1360
425,1361
425,1362
425,1364
425,1365
425,1366
425,1367
425,1369
425,1375
425,1378
425,1379
425,1380
425,1381
425,1382
425,1383
425,1385
425,1387
425,1391
425,1393
425,1394
425,1395
425,1396
425,1397
425,1400
425,1401
425,1402
425,1403
425,1404
425,1405
425,1406
425,1407
425,1408
425,1409
425,1410
2182,1410
425,1412
425,1413
425,1416
425,1417
425,1419
425,1420
425,1421
425,1422
425,1423
425,1424
425,1425
425,1426
425,1428
425,1430
425,1431
425,1433
425,1434
425,1435
425,1441
425,1443
425,1444
425,1445
425,1446
425,1447
425,1448
425,1449
425,1450
425,1451
425,1452
425,1453
425,1454
425,1455
425,1456
