,AK,AL,AR,AZ,CA,CO,CT,DC,DE,FL,GA,HI,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,RI,SC,SD,TN,TX,US,UT,VA,VT,WA,WI,WV,WY
2000,1854968.0,28756115.0,14870777.0,16562652.0,52827094.0,14028934.0,11645484.0,1624101.0,2383232.0,99005605.0,44559990.0,2764618.0,12028663.0,7006491.0,26764267.333333332,28648540.0,12528341.0,23374472.0,27719176.0,11708204.666666666,15966210.666666666,2491201.3333333335,20471511.333333332,18629364.0,29581354.0,17192809.0,2605169.3333333335,46536517.0,3390036.0,8346035.0,2437422.6666666665,16364890.666666666,3291382.6666666665,9406302.0,28678380.0,30992091.333333332,19640229.0,18211761.0,30005196.666666668,1776266.0,25270116.0,3423322.0,36622145.0,116895281.0,794964327.3333334,6513506.0,37541300.0,2036934.0,22023852.0,19929345.0,9737791.0,2102532.0
2001,1891468.0,27802207.0,15103946.0,26200172.0,51111754.666666664,14470251.0,7983078.0,1132578.6666666667,2489328.6666666665,101377095.0,44380213.0,2802470.0,12429672.0,6905546.0,27880003.333333332,29419675.0,12062329.0,23698316.0,25800335.0,11989020.666666666,16196064.0,2601960.0,21536532.0,19399686.0,30168329.0,16855661.0,2590816.0,46200716.0,3479809.0,8638208.0,2526193.3333333335,16994282.0,4999477.0,9606869.0,29490395.333333332,31564108.666666668,19795853.0,17502996.0,30686659.333333332,1799372.6666666667,24874643.0,3580418.0,36931534.0,78228519.33333333,801071062.0,6692983.0,24883487.333333332,2009403.0,21072314.0,20417899.0,9828180.0,2145532.0
2002,1932217.0,30021763.0,15527374.0,26412614.0,51468200.0,15424846.0,8315208.666666667,1193402.0,2680205.3333333335,108163825.0,48599732.0,2898380.0,12920571.0,7055912.0,30020046.0,31567900.0,12745301.0,25347157.0,28157092.0,12463110.666666666,16992702.0,2695400.0,22890774.0,20450927.0,31684209.0,17843742.0,2687109.3333333335,49854417.0,3663885.0,8956037.0,2668346.6666666665,18114249.333333332,5238134.0,9702083.0,30971353.333333332,33909095.333333336,19927272.0,17553984.0,32486637.333333332,1885924.6666666667,26786631.0,3733016.0,38751810.0,121435110.0,843453246.0,6938291.0,26905582.0,2046818.0,21377331.333333332,21575371.0,10444146.0,2232285.0
2003,1987009.0,29416418.0,15598301.0,27741520.0,55283932.666666664,15724839.0,8785557.333333334,1169536.0,2793593.3333333335,112649865.0,48174230.0,3027624.0,12767551.0,7089744.0,28774221.333333332,30726178.0,12602296.0,24703645.0,28572305.0,13060527.333333334,17780849.333333332,2812634.6666666665,22446316.0,20637751.0,31421927.0,17669709.0,2746766.6666666665,49348767.0,3707436.0,8852219.0,2834556.0,18244750.666666668,5418038.0,10339935.0,31410591.333333332,33080385.333333332,20161967.0,17735560.0,33100667.333333332,1998806.0,26421639.0,3739838.0,37696941.0,121354826.0,850549273.3333334,7166407.0,27251137.333333332,2011389.0,21248030.0,21364143.0,10473404.0,2286201.0
2004,2061905.0,30109115.0,15619397.0,28920651.0,55574167.333333336,15532168.0,8807593.333333334,1222956.0,2869688.6666666665,112203012.0,51123502.0,3162192.0,12625127.0,4875952.666666667,28961688.666666668,31192229.0,12416599.0,25186568.0,28862996.0,13179019.333333334,18634652.0,2887406.0,22069057.333333332,20507412.0,31350643.0,17580026.0,2701840.6666666665,51717380.0,3662781.0,8756735.0,2854492.0,18680083.333333332,5634821.0,7115060.0,31585917.333333332,33533358.666666668,19699041.0,12000472.0,33775592.666666664,2000236.6666666667,27909738.0,3695725.0,38525656.0,120329880.0,861321052.0,7324848.0,28335596.666666668,2109494.0,21636454.666666668,21192325.0,10755869.0,2261814.0
2005,2061652.0,31315100.0,17133693.0,30543645.0,57073606.666666664,16436381.0,9201974.666666666,1292180.0,3062672.6666666665,115791459.0,52826512.0,3164065.0,13570604.0,7600766.0,32395067.333333332,33628670.0,13406146.0,26947109.0,28654171.0,13692882.666666666,18959763.333333332,3002302.6666666665,24063302.666666668,21743001.0,34411988.0,17953344.0,2814298.6666666665,54072734.0,3796009.0,9309209.0,2996917.3333333335,19982295.333333332,5864834.0,7386544.0,33688566.666666664,35936162.666666664,21309314.0,12225876.666666666,35774317.333333336,2114251.3333333335,28675763.0,3972979.0,41132286.0,126561913.0,906151404.6666666,7567279.0,29774559.333333332,2188639.0,22141464.666666668,22458357.0,11384443.0,2376532.0
2006,2120254.0,32277083.0,17065081.0,32367475.0,59890499.333333336,16951534.0,8642312.0,1214740.0,2839092.0,117053005.0,54520612.0,3182432.0,13344308.0,8057475.0,30920990.666666668,32286467.0,13502671.0,25948878.0,28112801.0,13082953.333333334,17936924.0,2900699.3333333335,23081399.333333332,21909406.0,33880156.0,18276131.0,2929315.3333333335,52851296.0,3853040.0,9293507.0,2933731.3333333335,19081037.333333332,6009427.0,7985413.333333333,32284499.333333332,34250154.666666664,21690395.0,12651719.333333334,34526744.666666664,2005628.6666666667,28539117.0,4050931.0,40815857.0,126843225.0,901013357.3333334,8232050.0,28604012.0,2142237.0,22959043.333333332,21779468.0,11014418.0,2467935.0
2007,2114456.0,32783444.0,17414562.0,34436657.0,59438974.0,17634182.0,8914726.666666666,1313042.0,2979746.0,117816205.0,56223367.0,3200725.0,14060336.0,8339433.0,32024174.0,34646057.0,13806496.0,28003953.0,28877812.0,13425022.0,18796534.666666668,2942100.6666666665,23577387.333333332,22645637.0,35872486.0,18565875.0,3027696.0,56095471.0,4067284.0,9747547.0,2995246.6666666665,19834431.333333332,6387363.0,8260120.0,33494296.0,36250506.0,21360557.0,12916305.333333334,36391213.333333336,2087850.0,29569241.0,4260638.0,42879972.0,124921214.0,928160664.0,8751547.0,30320346.0,2169646.0,23592519.333333332,22374048.0,11749310.0,2592119.0
2008,2129811.0,32184540.0,17392467.0,33236370.0,60820545.333333336,17720491.0,8486462.666666666,1277093.3333333333,2952129.3333333335,113936978.0,55586624.0,3085237.0,14073160.0,5693162.0,31186897.333333332,33980411.0,13501924.0,27561641.0,28848402.0,13092327.333333334,18096170.0,2900872.6666666665,22864958.666666668,22357408.0,35389941.0,18293688.0,3112978.0,55751201.0,4259072.0,9755626.0,2929300.6666666665,19407348.666666668,6378856.0,8040343.333333333,32689300.0,35607066.0,21861112.0,13273229.333333334,36039841.333333336,2028456.0,29727267.0,4405631.0,41946552.0,128240048.0,920441163.3333334,8786278.0,29731058.666666668,2133497.0,24223898.0,21976106.0,11762543.0,2718705.0
2009,2117393.0,31489411.0,16985526.0,32846843.0,59865859.333333336,17412630.0,8385483.333333333,1266436.6666666667,2889941.3333333335,115473511.0,55157559.0,3055273.0,13723413.0,5702406.666666667,29549661.333333332,32548113.0,13149100.0,26560669.0,29746798.0,12983098.0,17963044.0,2906668.0,21902748.0,22033959.0,34220694.0,18095194.0,3193600.6666666665,56311126.0,4449220.0,9626939.0,2947681.3333333335,18555296.0,6503772.0,7920100.0,32163894.0,34270108.0,21640955.0,13202876.666666666,35270663.333333336,1957799.3333333333,29556323.0,4511308.0,40274908.0,129814900.0,909838768.6666666,8725274.0,29842012.666666668,2121828.0,24512122.666666668,21421045.0,11587693.0,2719524.0
