id,name,state_id
392,"Carroll County",54
393,"Wythe County",54
394,"Bland County",54
395,"Tazewell County",54
396,"Galax City",54
397,"Staunton City",54
398,"Bath County",54
399,"Highland County",54
400,"Rockbridge County",54
401,"Buena Vista City",54
402,"Alleghany County",54
403,"Lynchburg City",54
404,"Campbell County",54
405,"Halifax County",54
406,"Amherst County",54
407,"Bedford City",54
408,"Danville City",54
409,"McDowell County",54
410,"Mercer County",56
411,"Wyoming County",56
412,"McDowell County",56
413,"Mingo County",56
414,"Greenbrier County",56
415,"Monroe County",56
416,"Pocahontas County",56
417,"Summers County",56
418,"Fayette County",56
419,"Lincoln County",56
420,"Roane County",56
421,"Raleigh County",56
422,"Boone County",56
423,"Putnam County",56
424,"Kanawha County",56
425,"Clay County",56
426,"Logan County",56
427,"Nicholas County",56
428,"Mason County",56
429,"Jackson County",56
430,"Calhoun County",56
431,"Gilmer County",56
432,"Berkeley County",56
433,"Washington County",56
434,"Morgan County",56
435,"Jefferson County",56
436,"Hampshire County",56
437,"Cabell County",56
438,"Wayne County",56
439,"Martin County",56
440,"Ohio County",56
441,"Brooke County",56
442,"Marshall County",56
443,"Hancock County",56
444,"Wood County",56
445,"Pleasants County",56
446,"Ritchie County",56
447,"Wirt County",56
448,"Tyler County",56
449,"Wetzel County",56
450,"Upshur County",56
451,"Webster County",56
452,"Randolph County",56
453,"Barbour County",56
454,"Tucker County",56
455,"Harrison County",56
456,"Lewis County",56
457,"Braxton County",56
458,"Doddridge County",56
459,"Taylor County",56
460,"Preston County",56
461,"Monongalia County",56
462,"Marion County",56
463,"Grant County",56
464,"Mineral County",56
465,"Hardy County",56
466,"Pendleton County",56
467,"Davie County",38
468,"Surry County",38
469,"Forsyth County",38
470,"Yadkin County",38
471,"Rowan County",38
472,"Stokes County",38
473,"Rockingham County",38
474,"Alamance County",38
475,"Randolph County",38
476,"Chatham County",38
477,"Montgomery County",38
478,"Caswell County",38
479,"Guilford County",38
480,"Orange County",38
481,"Lee County",38
482,"Davidson County",38
483,"Moore County",38
484,"Person County",38
485,"Harnett County",38
486,"Wake County",38
487,"Durham County",38
488,"Johnston County",38
489,"Granville County",38
490,"Franklin County",38
491,"Wayne County",38
492,"Vance County",38
493,"Warren County",38
494,"Nash County",38
495,"Edgecombe County",38
496,"Bertie County",38
497,"Beaufort County",38
498,"Pitt County",38
499,"Wilson County",38
500,"Hertford County",38
501,"Northampton County",38
502,"Halifax County",38
503,"Hyde County",38
504,"Martin County",38
505,"Greene County",38
506,"Pasquotank County",38
507,"Dare County",38
508,"Currituck County",38
509,"Perquimans County",38
510,"Camden County",38
511,"Tyrrell County",38
512,"Gates County",38
513,"Washington County",38
514,"Chowan County",38
515,"Stanly County",38
516,"Gaston County",38
517,"Anson County",38
518,"Iredell County",38
519,"Cleveland County",38
520,"Rutherford County",38
521,"Cabarrus County",38
522,"Mecklenburg County",38
523,"Lincoln County",38
524,"Union County",38
525,"Cumberland County",38
526,"Sampson County",38
527,"Robeson County",38
528,"Bladen County",38
529,"Duplin County",38
530,"Richmond County",38
531,"Scotland County",38
532,"Hoke County",38
533,"New Hanover County",38
534,"Brunswick County",38
535,"Pender County",38
536,"Columbus County",38
537,"Onslow County",38
538,"Lenoir County",38
539,"Pamlico County",38
540,"Carteret County",38
541,"Craven County",38
542,"Jones County",38
543,"Catawba County",38
544,"Avery County",38
545,"Watauga County",38
546,"Wilkes County",38
547,"Burke County",38
548,"Ashe County",38
549,"Alleghany County",38
550,"Caldwell County",38
551,"Alexander County",38
552,,38
553,"Buncombe County",38
554,"Graham County",38
555,"Mitchell County",38
556,"Jackson County",38
557,"Transylvania County",38
558,"Henderson County",38
559,"Swain County",38
560,"Yancey County",38
561,"Haywood County",38
562,"Polk County",38
563,"Macon County",38
564,"McDowell County",38
565,"Madison County",38
566,"Cherokee County",38
567,"Clay County",38
568,"Clarendon County",47
569,"Richland County",47
570,"Bamberg County",47
571,"Lexington County",47
572,"Kershaw County",47
573,"Lee County",47
574,"Chester County",47
575,"Fairfield County",47
576,"Orangeburg County",47
577,"Calhoun County",47
578,"Union County",47
579,"Newberry County",47
580,"Sumter County",47
581,"Williamsburg County",47
582,"Lancaster County",47
583,"Darlington County",47
584,"Colleton County",47
585,"Chesterfield County",47
586,"Aiken County",47
587,"Florence County",47
588,"Saluda County",47
589,"Spartanburg County",47
590,"Laurens County",47
591,"Cherokee County",47
592,"Greenville County",47
593,"Charleston County",47
594,"Berkeley County",47
595,"Dorchester County",47
596,"Georgetown County",47
597,"Horry County",47
598,"Marlboro County",47
599,"Marion County",47
