"County","State","FIPS Code","Formatted FIPS","Average annual wage in the specialty trade contractors industry "
"Autauga","AL","01001","=""01001""","42502"
"Baldwin","AL","01003","=""01003""","43332"
"Barbour","AL","01005","=""01005""","29717"
"Bibb","AL","01007","=""01007""","35467"
"Blount","AL","01009","=""01009""","40791"
"Bullock","AL","01011","=""01011""","N/A"
"Butler","AL","01013","=""01013""","39431"
"Calhoun","AL","01015","=""01015""","42304"
"Chambers","AL","01017","=""01017""","37255"
"Cherokee","AL","01019","=""01019""","34806"
"Chilton","AL","01021","=""01021""","40034"
"Choctaw","AL","01023","=""01023""","38892"
"Clarke","AL","01025","=""01025""","31142"
"Clay","AL","01027","=""01027""","42881"
"Cleburne","AL","01029","=""01029""","29683"
"Coffee","AL","01031","=""01031""","34738"
"Colbert","AL","01033","=""01033""","49319"
"Conecuh","AL","01035","=""01035""","29660"
"Coosa","AL","01037","=""01037""","42255"
"Covington","AL","01039","=""01039""","34240"
"Crenshaw","AL","01041","=""01041""","35025"
"Cullman","AL","01043","=""01043""","37324"
"Dale","AL","01045","=""01045""","31539"
"Dallas","AL","01047","=""01047""","45372"
"DeKalb","AL","01049","=""01049""","43826"
"Elmore","AL","01051","=""01051""","43538"
"Escambia","AL","01053","=""01053""","35591"
"Etowah","AL","01055","=""01055""","41988"
"Fayette","AL","01057","=""01057""","30497"
"Franklin","AL","01059","=""01059""","37049"
"Geneva","AL","01061","=""01061""","30403"
"Greene","AL","01063","=""01063""","N/A"
"Hale","AL","01065","=""01065""","47727"
"Henry","AL","01067","=""01067""","34490"
"Houston","AL","01069","=""01069""","41722"
"Jackson","AL","01071","=""01071""","39464"
"Jefferson","AL","01073","=""01073""","55370"
"Lamar","AL","01075","=""01075""","40397"
"Lauderdale","AL","01077","=""01077""","43631"
"Lawrence","AL","01079","=""01079""","48602"
"Lee","AL","01081","=""01081""","40090"
"Limestone","AL","01083","=""01083""","40795"
"Lowndes","AL","01085","=""01085""","37086"
"Macon","AL","01087","=""01087""","21288"
"Madison","AL","01089","=""01089""","46440"
"Marengo","AL","01091","=""01091""","48820"
"Marion","AL","01093","=""01093""","30815"
"Marshall","AL","01095","=""01095""","40133"
"Mobile","AL","01097","=""01097""","54176"
"Monroe","AL","01099","=""01099""","N/A"
"Montgomery","AL","01101","=""01101""","48669"
"Morgan","AL","01103","=""01103""","50844"
"Perry","AL","01105","=""01105""","32899"
"Pickens","AL","01107","=""01107""","33385"
"Pike","AL","01109","=""01109""","37463"
"Randolph","AL","01111","=""01111""","37928"
"Russell","AL","01113","=""01113""","40368"
"St. Clair","AL","01115","=""01115""","42715"
"Shelby","AL","01117","=""01117""","53709"
"Sumter","AL","01119","=""01119""","28802"
"Talladega","AL","01121","=""01121""","50761"
"Tallapoosa","AL","01123","=""01123""","34460"
"Tuscaloosa","AL","01125","=""01125""","44339"
"Walker","AL","01127","=""01127""","50064"
"Washington","AL","01129","=""01129""","33845"
"Wilcox","AL","01131","=""01131""","42008"
"Winston","AL","01133","=""01133""","40313"
"Aleutians East","AK","02013","=""02013""","N/A"
"Aleutians West","AK","02016","=""02016""","99855"
"Anchorage","AK","02020","=""02020""","69880"
"Bethel","AK","02050","=""02050""","N/A"
"Bristol Bay","AK","02060","=""02060""","N/A"
"Denali","AK","02068","=""02068""","N/A"
"Dillingham","AK","02070","=""02070""","N/A"
"Fairbanks North Star","AK","02090","=""02090""","83214"
"Haines","AK","02100","=""02100""","45802"
"Hoonah-Angoon","AK","02105","=""02105""","45028"
"Juneau","AK","02110","=""02110""","61517"
"Kenai Peninsula","AK","02122","=""02122""","58963"
"Ketchikan Gateway","AK","02130","=""02130""","49422"
"Kodiak Island","AK","02150","=""02150""","54832"
"Lake and Peninsula","AK","02164","=""02164""","N/A"
"Matanuska-Susitna","AK","02170","=""02170""","56950"
"Nome","AK","02180","=""02180""","N/A"
"North Slope","AK","02185","=""02185""","90289"
"Northwest Arctic","AK","02188","=""02188""","117879"
"Petersburg","AK","02195","=""02195""","N/A"
"Prince of Wales-Hyder","AK","02198","=""02198""","42403"
"Sitka","AK","02220","=""02220""","80922"
"Skagway","AK","02230","=""02230""","N/A"
"Southeast Fairbanks","AK","02240","=""02240""","N/A"
"Valdez-Cordova","AK","02261","=""02261""","48999"
"Wade Hampton","AK","02270","=""02270""","N/A"
"Wrangell","AK","02275","=""02275""","39036"
"Yakutat","AK","02282","=""02282""","N/A"
"Yukon-Koyukuk","AK","02290","=""02290""","N/A"
"Apache","AZ","04001","=""04001""","N/A"
"Cochise","AZ","04003","=""04003""","41767"
"Coconino","AZ","04005","=""04005""","41052"
"Gila","AZ","04007","=""04007""","43048"
"Graham","AZ","04009","=""04009""","34180"
"Greenlee","AZ","04011","=""04011""","55178"
"La Paz","AZ","04012","=""04012""","52912"
"Maricopa","AZ","04013","=""04013""","54228"
"Mohave","AZ","04015","=""04015""","37869"
"Navajo","AZ","04017","=""04017""","38423"
"Pima","AZ","04019","=""04019""","43825"
"Pinal","AZ","04021","=""04021""","43777"
"Santa Cruz","AZ","04023","=""04023""","36418"
"Yavapai","AZ","04025","=""04025""","40182"
"Yuma","AZ","04027","=""04027""","36011"
"Arkansas","AR","05001","=""05001""","47291"
"Ashley","AR","05003","=""05003""","31654"
"Baxter","AR","05005","=""05005""","34533"
"Benton","AR","05007","=""05007""","46277"
"Boone","AR","05009","=""05009""","39538"
"Bradley","AR","05011","=""05011""","28164"
"Calhoun","AR","05013","=""05013""","44687"
"Carroll","AR","05015","=""05015""","39569"
"Chicot","AR","05017","=""05017""","N/A"
"Clark","AR","05019","=""05019""","44373"
"Clay","AR","05021","=""05021""","33962"
"Cleburne","AR","05023","=""05023""","41285"
"Cleveland","AR","05025","=""05025""","N/A"
"Columbia","AR","05027","=""05027""","36440"
"Conway","AR","05029","=""05029""","56574"
"Craighead","AR","05031","=""05031""","46579"
"Crawford","AR","05033","=""05033""","42641"
"Crittenden","AR","05035","=""05035""","44010"
"Cross","AR","05037","=""05037""","35986"
"Dallas","AR","05039","=""05039""","34770"
"Desha","AR","05041","=""05041""","35445"
"Drew","AR","05043","=""05043""","47224"
"Faulkner","AR","05045","=""05045""","40801"
"Franklin","AR","05047","=""05047""","29582"
"Fulton","AR","05049","=""05049""","N/A"
"Garland","AR","05051","=""05051""","38183"
"Grant","AR","05053","=""05053""","58561"
"Greene","AR","05055","=""05055""","33932"
"Hempstead","AR","05057","=""05057""","43809"
"Hot Spring","AR","05059","=""05059""","30544"
"Howard","AR","05061","=""05061""","23363"
"Independence","AR","05063","=""05063""","57464"
"Izard","AR","05065","=""05065""","34438"
"Jackson","AR","05067","=""05067""","43698"
"Jefferson","AR","05069","=""05069""","38565"
"Johnson","AR","05071","=""05071""","36846"
"Lafayette","AR","05073","=""05073""","N/A"
"Lawrence","AR","05075","=""05075""","44509"
"Lee","AR","05077","=""05077""","N/A"
"Lincoln","AR","05079","=""05079""","37229"
"Little River","AR","05081","=""05081""","47993"
"Logan","AR","05083","=""05083""","40018"
"Lonoke","AR","05085","=""05085""","41688"
"Madison","AR","05087","=""05087""","37816"
"Marion","AR","05089","=""05089""","34674"
"Miller","AR","05091","=""05091""","41979"
"Mississippi","AR","05093","=""05093""","59938"
"Monroe","AR","05095","=""05095""","19962"
"Montgomery","AR","05097","=""05097""","28832"
"Nevada","AR","05099","=""05099""","30369"
"Newton","AR","05101","=""05101""","N/A"
"Ouachita","AR","05103","=""05103""","38941"
"Perry","AR","05105","=""05105""","33532"
"Phillips","AR","05107","=""05107""","25293"
"Pike","AR","05109","=""05109""","32713"
"Poinsett","AR","05111","=""05111""","33097"
"Polk","AR","05113","=""05113""","35881"
"Pope","AR","05115","=""05115""","50308"
"Prairie","AR","05117","=""05117""","N/A"
"Pulaski","AR","05119","=""05119""","47839"
"Randolph","AR","05121","=""05121""","31296"
"St. Francis","AR","05123","=""05123""","45042"
"Saline","AR","05125","=""05125""","44199"
"Scott","AR","05127","=""05127""","N/A"
"Searcy","AR","05129","=""05129""","N/A"
"Sebastian","AR","05131","=""05131""","42737"
"Sevier","AR","05133","=""05133""","51696"
"Sharp","AR","05135","=""05135""","38417"
"Stone","AR","05137","=""05137""","26151"
"Union","AR","05139","=""05139""","55719"
"Van Buren","AR","05141","=""05141""","29751"
"Washington","AR","05143","=""05143""","49636"
"White","AR","05145","=""05145""","37711"
"Woodruff","AR","05147","=""05147""","N/A"
"Yell","AR","05149","=""05149""","37302"
"Alameda","CA","06001","=""06001""","84288"
"Alpine","CA","06003","=""06003""","N/A"
"Amador","CA","06005","=""06005""","56279"
"Butte","CA","06007","=""06007""","46780"
"Calaveras","CA","06009","=""06009""","48762"
"Colusa","CA","06011","=""06011""","54598"
"Contra Costa","CA","06013","=""06013""","72500"
"Del Norte","CA","06015","=""06015""","32429"
"El Dorado","CA","06017","=""06017""","62264"
"Fresno","CA","06019","=""06019""","52464"
"Glenn","CA","06021","=""06021""","48597"
"Humboldt","CA","06023","=""06023""","51262"
"Imperial","CA","06025","=""06025""","49011"
"Inyo","CA","06027","=""06027""","47936"
"Kern","CA","06029","=""06029""","50890"
"Kings","CA","06031","=""06031""","45420"
"Lake","CA","06033","=""06033""","47346"
"Lassen","CA","06035","=""06035""","43428"
"Los Angeles","CA","06037","=""06037""","59828"
"Madera","CA","06039","=""06039""","52306"
"Marin","CA","06041","=""06041""","74210"
"Mariposa","CA","06043","=""06043""","40800"
"Mendocino","CA","06045","=""06045""","52713"
"Merced","CA","06047","=""06047""","45487"
"Modoc","CA","06049","=""06049""","49503"
"Mono","CA","06051","=""06051""","44493"
"Monterey","CA","06053","=""06053""","55734"
"Napa","CA","06055","=""06055""","74883"
"Nevada","CA","06057","=""06057""","53241"
"Orange","CA","06059","=""06059""","67053"
"Placer","CA","06061","=""06061""","58992"
"Plumas","CA","06063","=""06063""","49909"
"Riverside","CA","06065","=""06065""","50905"
"Sacramento","CA","06067","=""06067""","61915"
"San Benito","CA","06069","=""06069""","57580"
"San Bernardino","CA","06071","=""06071""","57961"
"San Diego","CA","06073","=""06073""","59366"
"San Francisco","CA","06075","=""06075""","98556"
"San Joaquin","CA","06077","=""06077""","57474"
"San Luis Obispo","CA","06079","=""06079""","58404"
"San Mateo","CA","06081","=""06081""","85424"
"Santa Barbara","CA","06083","=""06083""","52746"
"Santa Clara","CA","06085","=""06085""","85455"
"Santa Cruz","CA","06087","=""06087""","58089"
"Shasta","CA","06089","=""06089""","49701"
"Sierra","CA","06091","=""06091""","36844"
"Siskiyou","CA","06093","=""06093""","52334"
"Solano","CA","06095","=""06095""","66970"
"Sonoma","CA","06097","=""06097""","66041"
"Stanislaus","CA","06099","=""06099""","54254"
"Sutter","CA","06101","=""06101""","49335"
"Tehama","CA","06103","=""06103""","71127"
"Trinity","CA","06105","=""06105""","37621"
"Tulare","CA","06107","=""06107""","48388"
"Tuolumne","CA","06109","=""06109""","55868"
"Ventura","CA","06111","=""06111""","55894"
"Yolo","CA","06113","=""06113""","64416"
"Yuba","CA","06115","=""06115""","52148"
"Adams","CO","08001","=""08001""","61755"
"Alamosa","CO","08003","=""08003""","43734"
"Arapahoe","CO","08005","=""08005""","61640"
"Archuleta","CO","08007","=""08007""","36038"
"Baca","CO","08009","=""08009""","N/A"
"Bent","CO","08011","=""08011""","N/A"
"Boulder","CO","08013","=""08013""","53543"
"Broomfield","CO","08014","=""08014""","67969"
"Chaffee","CO","08015","=""08015""","40260"
"Cheyenne","CO","08017","=""08017""","N/A"
"Clear Creek","CO","08019","=""08019""","40863"
"Conejos","CO","08021","=""08021""","29229"
"Costilla","CO","08023","=""08023""","N/A"
"Crowley","CO","08025","=""08025""","N/A"
"Custer","CO","08027","=""08027""","30591"
"Delta","CO","08029","=""08029""","45302"
"Denver","CO","08031","=""08031""","60481"
"Dolores","CO","08033","=""08033""","41244"
"Douglas","CO","08035","=""08035""","58663"
"Eagle","CO","08037","=""08037""","55422"
"Elbert","CO","08039","=""08039""","49944"
"El Paso","CO","08041","=""08041""","50776"
"Fremont","CO","08043","=""08043""","36562"
"Garfield","CO","08045","=""08045""","55753"
"Gilpin","CO","08047","=""08047""","N/A"
"Grand","CO","08049","=""08049""","46704"
"Gunnison","CO","08051","=""08051""","44135"
"Hinsdale","CO","08053","=""08053""","38151"
"Huerfano","CO","08055","=""08055""","32197"
"Jackson","CO","08057","=""08057""","48181"
"Jefferson","CO","08059","=""08059""","58826"
"Kiowa","CO","08061","=""08061""","36782"
"Kit Carson","CO","08063","=""08063""","N/A"
"Lake","CO","08065","=""08065""","N/A"
"La Plata","CO","08067","=""08067""","46286"
"Larimer","CO","08069","=""08069""","53578"
"Las Animas","CO","08071","=""08071""","38989"
"Lincoln","CO","08073","=""08073""","41190"
"Logan","CO","08075","=""08075""","36676"
"Mesa","CO","08077","=""08077""","49553"
"Mineral","CO","08079","=""08079""","N/A"
"Moffat","CO","08081","=""08081""","38827"
"Montezuma","CO","08083","=""08083""","38072"
"Montrose","CO","08085","=""08085""","45555"
"Morgan","CO","08087","=""08087""","43940"
"Otero","CO","08089","=""08089""","29214"
"Ouray","CO","08091","=""08091""","49029"
"Park","CO","08093","=""08093""","42898"
"Phillips","CO","08095","=""08095""","30131"
"Pitkin","CO","08097","=""08097""","57006"
"Prowers","CO","08099","=""08099""","29916"
"Pueblo","CO","08101","=""08101""","44200"
"Rio Blanco","CO","08103","=""08103""","54279"
"Rio Grande","CO","08105","=""08105""","31890"
"Routt","CO","08107","=""08107""","46838"
"Saguache","CO","08109","=""08109""","34014"
"San Juan","CO","08111","=""08111""","42344"
"San Miguel","CO","08113","=""08113""","51590"
"Sedgwick","CO","08115","=""08115""","N/A"
"Summit","CO","08117","=""08117""","55716"
"Teller","CO","08119","=""08119""","34167"
"Washington","CO","08121","=""08121""","32929"
"Weld","CO","08123","=""08123""","53040"
"Yuma","CO","08125","=""08125""","42502"
"Fairfield","CT","09001","=""09001""","62623"
"Hartford","CT","09003","=""09003""","68742"
"Litchfield","CT","09005","=""09005""","58320"
"Middlesex","CT","09007","=""09007""","60651"
"New Haven","CT","09009","=""09009""","64490"
"New London","CT","09011","=""09011""","57070"
"Tolland","CT","09013","=""09013""","61234"
"Windham","CT","09015","=""09015""","52188"
"Kent","DE","10001","=""10001""","50814"
"New Castle","DE","10003","=""10003""","61370"
"Sussex","DE","10005","=""10005""","48292"
"District of Columbia","DC","11001","=""11001""","65785"
"Alachua","FL","12001","=""12001""","40890"
"Baker","FL","12003","=""12003""","37681"
"Bay","FL","12005","=""12005""","39094"
"Bradford","FL","12007","=""12007""","35526"
"Brevard","FL","12009","=""12009""","43243"
"Broward","FL","12011","=""12011""","49418"
"Calhoun","FL","12013","=""12013""","N/A"
"Charlotte","FL","12015","=""12015""","41200"
"Citrus","FL","12017","=""12017""","36828"
"Clay","FL","12019","=""12019""","38153"
"Collier","FL","12021","=""12021""","44704"
"Columbia","FL","12023","=""12023""","37037"
"DeSoto","FL","12027","=""12027""","36180"
"Dixie","FL","12029","=""12029""","38742"
"Duval","FL","12031","=""12031""","48419"
"Escambia","FL","12033","=""12033""","44557"
"Flagler","FL","12035","=""12035""","34374"
"Franklin","FL","12037","=""12037""","28903"
"Gadsden","FL","12039","=""12039""","31336"
"Gilchrist","FL","12041","=""12041""","39999"
"Glades","FL","12043","=""12043""","44149"
"Gulf","FL","12045","=""12045""","33756"
"Hamilton","FL","12047","=""12047""","N/A"
"Hardee","FL","12049","=""12049""","37046"
"Hendry","FL","12051","=""12051""","43741"
"Hernando","FL","12053","=""12053""","39023"
"Highlands","FL","12055","=""12055""","37375"
"Hillsborough","FL","12057","=""12057""","49533"
"Holmes","FL","12059","=""12059""","31045"
"Indian River","FL","12061","=""12061""","40080"
"Jackson","FL","12063","=""12063""","41654"
"Jefferson","FL","12065","=""12065""","29009"
"Lafayette","FL","12067","=""12067""","25224"
"Lake","FL","12069","=""12069""","45628"
"Lee","FL","12071","=""12071""","45279"
"Leon","FL","12073","=""12073""","41590"
"Levy","FL","12075","=""12075""","29445"
"Liberty","FL","12077","=""12077""","24853"
"Madison","FL","12079","=""12079""","28384"
"Manatee","FL","12081","=""12081""","43855"
"Marion","FL","12083","=""12083""","38911"
"Martin","FL","12085","=""12085""","41730"
"Miami-Dade","FL","12086","=""12086""","44930"
"Monroe","FL","12087","=""12087""","44857"
"Nassau","FL","12089","=""12089""","34976"
"Okaloosa","FL","12091","=""12091""","40072"
"Okeechobee","FL","12093","=""12093""","40344"
"Orange","FL","12095","=""12095""","49493"
"Osceola","FL","12097","=""12097""","42451"
"Palm Beach","FL","12099","=""12099""","48285"
"Pasco","FL","12101","=""12101""","39536"
"Pinellas","FL","12103","=""12103""","47900"
"Polk","FL","12105","=""12105""","43213"
"Putnam","FL","12107","=""12107""","29955"
"St. Johns","FL","12109","=""12109""","40180"
"St. Lucie","FL","12111","=""12111""","41039"
"Santa Rosa","FL","12113","=""12113""","35232"
"Sarasota","FL","12115","=""12115""","44450"
"Seminole","FL","12117","=""12117""","50009"
"Sumter","FL","12119","=""12119""","44601"
"Suwannee","FL","12121","=""12121""","29303"
"Taylor","FL","12123","=""12123""","44425"
"Union","FL","12125","=""12125""","34001"
"Volusia","FL","12127","=""12127""","40219"
"Wakulla","FL","12129","=""12129""","33202"
"Walton","FL","12131","=""12131""","39859"
"Washington","FL","12133","=""12133""","27874"
"Appling","GA","13001","=""13001""","39889"
"Atkinson","GA","13003","=""13003""","N/A"
"Bacon","GA","13005","=""13005""","32513"
"Baker","GA","13007","=""13007""","N/A"
"Baldwin","GA","13009","=""13009""","47914"
"Banks","GA","13011","=""13011""","36610"
"Barrow","GA","13013","=""13013""","53813"
"Bartow","GA","13015","=""13015""","50551"
"Ben Hill","GA","13017","=""13017""","34569"
"Berrien","GA","13019","=""13019""","25759"
"Bibb","GA","13021","=""13021""","50209"
"Bleckley","GA","13023","=""13023""","24341"
"Brantley","GA","13025","=""13025""","32678"
"Brooks","GA","13027","=""13027""","27536"
"Bryan","GA","13029","=""13029""","44930"
"Bulloch","GA","13031","=""13031""","40198"
"Burke","GA","13033","=""13033""","39799"
"Butts","GA","13035","=""13035""","33274"
"Calhoun","GA","13037","=""13037""","N/A"
"Camden","GA","13039","=""13039""","38066"
"Candler","GA","13043","=""13043""","35802"
"Carroll","GA","13045","=""13045""","53627"
"Catoosa","GA","13047","=""13047""","42638"
"Charlton","GA","13049","=""13049""","32490"
"Chatham","GA","13051","=""13051""","52287"
"Chattahoochee","GA","13053","=""13053""","42767"
"Chattooga","GA","13055","=""13055""","44827"
"Cherokee","GA","13057","=""13057""","51572"
"Clarke","GA","13059","=""13059""","48946"
"Clay","GA","13061","=""13061""","N/A"
"Clayton","GA","13063","=""13063""","62591"
"Clinch","GA","13065","=""13065""","N/A"
"Cobb","GA","13067","=""13067""","63344"
"Coffee","GA","13069","=""13069""","34461"
"Colquitt","GA","13071","=""13071""","32115"
"Columbia","GA","13073","=""13073""","42936"
"Cook","GA","13075","=""13075""","42415"
"Coweta","GA","13077","=""13077""","44428"
"Crawford","GA","13079","=""13079""","40952"
"Crisp","GA","13081","=""13081""","41467"
"Dade","GA","13083","=""13083""","57601"
"Dawson","GA","13085","=""13085""","44558"
"Decatur","GA","13087","=""13087""","34871"
"DeKalb","GA","13089","=""13089""","63088"
"Dodge","GA","13091","=""13091""","36502"
"Dooly","GA","13093","=""13093""","N/A"
"Dougherty","GA","13095","=""13095""","49227"
"Douglas","GA","13097","=""13097""","50094"
"Early","GA","13099","=""13099""","49269"
"Echols","GA","13101","=""13101""","46555"
"Effingham","GA","13103","=""13103""","39867"
"Elbert","GA","13105","=""13105""","31988"
"Emanuel","GA","13107","=""13107""","33317"
"Evans","GA","13109","=""13109""","48679"
"Fannin","GA","13111","=""13111""","36801"
"Fayette","GA","13113","=""13113""","58875"
"Floyd","GA","13115","=""13115""","42825"
"Forsyth","GA","13117","=""13117""","57337"
"Franklin","GA","13119","=""13119""","37672"
"Fulton","GA","13121","=""13121""","63626"
"Gilmer","GA","13123","=""13123""","39074"
"Glascock","GA","13125","=""13125""","N/A"
"Glynn","GA","13127","=""13127""","38566"
"Gordon","GA","13129","=""13129""","47809"
"Grady","GA","13131","=""13131""","37313"
"Greene","GA","13133","=""13133""","44427"
"Gwinnett","GA","13135","=""13135""","61383"
"Habersham","GA","13137","=""13137""","37356"
"Hall","GA","13139","=""13139""","50340"
"Hancock","GA","13141","=""13141""","N/A"
"Haralson","GA","13143","=""13143""","53701"
"Harris","GA","13145","=""13145""","37610"
"Hart","GA","13147","=""13147""","46773"
"Heard","GA","13149","=""13149""","N/A"
"Henry","GA","13151","=""13151""","52697"
"Houston","GA","13153","=""13153""","38998"
"Irwin","GA","13155","=""13155""","49034"
"Jackson","GA","13157","=""13157""","48088"
"Jasper","GA","13159","=""13159""","34446"
"Jeff Davis","GA","13161","=""13161""","N/A"
"Jefferson","GA","13163","=""13163""","55540"
"Jenkins","GA","13165","=""13165""","38373"
"Johnson","GA","13167","=""13167""","N/A"
"Jones","GA","13169","=""13169""","42187"
"Lamar","GA","13171","=""13171""","41262"
"Lanier","GA","13173","=""13173""","25318"
"Laurens","GA","13175","=""13175""","43248"
"Lee","GA","13177","=""13177""","43308"
"Liberty","GA","13179","=""13179""","35171"
"Lincoln","GA","13181","=""13181""","45936"
"Long","GA","13183","=""13183""","24352"
"Lowndes","GA","13185","=""13185""","70103"
"Lumpkin","GA","13187","=""13187""","38603"
"McDuffie","GA","13189","=""13189""","42734"
"McIntosh","GA","13191","=""13191""","38698"
"Macon","GA","13193","=""13193""","N/A"
"Madison","GA","13195","=""13195""","40863"
"Marion","GA","13197","=""13197""","34608"
"Meriwether","GA","13199","=""13199""","49859"
"Miller","GA","13201","=""13201""","N/A"
"Mitchell","GA","13205","=""13205""","32884"
"Monroe","GA","13207","=""13207""","42113"
"Montgomery","GA","13209","=""13209""","N/A"
"Morgan","GA","13211","=""13211""","48154"
"Murray","GA","13213","=""13213""","31581"
"Muscogee","GA","13215","=""13215""","43374"
"Newton","GA","13217","=""13217""","51250"
"Oconee","GA","13219","=""13219""","46769"
"Oglethorpe","GA","13221","=""13221""","37781"
"Paulding","GA","13223","=""13223""","46833"
"Peach","GA","13225","=""13225""","50637"
"Pickens","GA","13227","=""13227""","43560"
"Pierce","GA","13229","=""13229""","33199"
"Pike","GA","13231","=""13231""","43777"
"Polk","GA","13233","=""13233""","50188"
"Pulaski","GA","13235","=""13235""","38361"
"Putnam","GA","13237","=""13237""","39498"
"Quitman","GA","13239","=""13239""","N/A"
"Rabun","GA","13241","=""13241""","35626"
"Randolph","GA","13243","=""13243""","27887"
"Richmond","GA","13245","=""13245""","44454"
"Rockdale","GA","13247","=""13247""","53404"
"Schley","GA","13249","=""13249""","N/A"
"Screven","GA","13251","=""13251""","N/A"
"Seminole","GA","13253","=""13253""","N/A"
"Spalding","GA","13255","=""13255""","45335"
"Stephens","GA","13257","=""13257""","37449"
"Stewart","GA","13259","=""13259""","N/A"
"Sumter","GA","13261","=""13261""","33845"
"Talbot","GA","13263","=""13263""","28544"
"Taliaferro","GA","13265","=""13265""","N/A"
"Tattnall","GA","13267","=""13267""","34791"
"Taylor","GA","13269","=""13269""","51606"
"Telfair","GA","13271","=""13271""","38014"
"Terrell","GA","13273","=""13273""","42734"
"Thomas","GA","13275","=""13275""","37347"
"Tift","GA","13277","=""13277""","39598"
"Toombs","GA","13279","=""13279""","38345"
"Towns","GA","13281","=""13281""","30664"
"Treutlen","GA","13283","=""13283""","N/A"
"Troup","GA","13285","=""13285""","53976"
"Turner","GA","13287","=""13287""","25024"
"Twiggs","GA","13289","=""13289""","29897"
"Union","GA","13291","=""13291""","33903"
"Upson","GA","13293","=""13293""","49035"
"Walker","GA","13295","=""13295""","43658"
"Walton","GA","13297","=""13297""","51364"
"Ware","GA","13299","=""13299""","33865"
"Warren","GA","13301","=""13301""","N/A"
"Washington","GA","13303","=""13303""","38884"
"Wayne","GA","13305","=""13305""","49547"
"Webster","GA","13307","=""13307""","N/A"
"Wheeler","GA","13309","=""13309""","N/A"
"White","GA","13311","=""13311""","40506"
"Whitfield","GA","13313","=""13313""","47368"
"Wilcox","GA","13315","=""13315""","32387"
"Wilkes","GA","13317","=""13317""","52527"
"Wilkinson","GA","13319","=""13319""","45064"
"Worth","GA","13321","=""13321""","29584"
"Hawaii","HI","15001","=""15001""","58470"
"Honolulu","HI","15003","=""15003""","74024"
"Kalawao","HI","15005","=""15005""","N/A"
"Kauai","HI","15007","=""15007""","N/A"
"Maui","HI","15009","=""15009""","62822"
"Ada","ID","16001","=""16001""","45737"
"Adams","ID","16003","=""16003""","36874"
"Bannock","ID","16005","=""16005""","40551"
"Bear Lake","ID","16007","=""16007""","29727"
"Benewah","ID","16009","=""16009""","40058"
"Bingham","ID","16011","=""16011""","38260"
"Blaine","ID","16013","=""16013""","45104"
"Boise","ID","16015","=""16015""","27921"
"Bonner","ID","16017","=""16017""","36081"
"Bonneville","ID","16019","=""16019""","40615"
"Boundary","ID","16021","=""16021""","39245"
"Butte","ID","16023","=""16023""","53443"
"Camas","ID","16025","=""16025""","N/A"
"Canyon","ID","16027","=""16027""","38082"
"Caribou","ID","16029","=""16029""","44028"
"Cassia","ID","16031","=""16031""","42245"
"Clark","ID","16033","=""16033""","N/A"
"Clearwater","ID","16035","=""16035""","33578"
"Custer","ID","16037","=""16037""","25185"
"Elmore","ID","16039","=""16039""","31097"
"Franklin","ID","16041","=""16041""","37990"
"Fremont","ID","16043","=""16043""","31633"
"Gem","ID","16045","=""16045""","35912"
"Gooding","ID","16047","=""16047""","41180"
"Idaho","ID","16049","=""16049""","38041"
"Jefferson","ID","16051","=""16051""","37214"
"Jerome","ID","16053","=""16053""","38195"
"Kootenai","ID","16055","=""16055""","40645"
"Latah","ID","16057","=""16057""","36135"
"Lemhi","ID","16059","=""16059""","33406"
"Lewis","ID","16061","=""16061""","28301"
"Lincoln","ID","16063","=""16063""","38052"
"Madison","ID","16065","=""16065""","30824"
"Minidoka","ID","16067","=""16067""","46778"
"Nez Perce","ID","16069","=""16069""","42671"
"Oneida","ID","16071","=""16071""","N/A"
"Owyhee","ID","16073","=""16073""","36620"
"Payette","ID","16075","=""16075""","35149"
"Power","ID","16077","=""16077""","N/A"
"Shoshone","ID","16079","=""16079""","58103"
"Teton","ID","16081","=""16081""","40033"
"Twin Falls","ID","16083","=""16083""","38177"
"Valley","ID","16085","=""16085""","42076"
"Washington","ID","16087","=""16087""","37167"
"Adams","IL","17001","=""17001""","48916"
"Alexander","IL","17003","=""17003""","N/A"
"Bond","IL","17005","=""17005""","40745"
"Boone","IL","17007","=""17007""","54859"
"Brown","IL","17009","=""17009""","30306"
"Bureau","IL","17011","=""17011""","45472"
"Calhoun","IL","17013","=""17013""","61015"
"Carroll","IL","17015","=""17015""","40941"
"Cass","IL","17017","=""17017""","N/A"
"Champaign","IL","17019","=""17019""","57073"
"Christian","IL","17021","=""17021""","42479"
"Clark","IL","17023","=""17023""","32853"
"Clay","IL","17025","=""17025""","33116"
"Clinton","IL","17027","=""17027""","48336"
"Coles","IL","17029","=""17029""","51607"
"Cook","IL","17031","=""17031""","77315"
"Crawford","IL","17033","=""17033""","56049"
"Cumberland","IL","17035","=""17035""","32506"
"DeKalb","IL","17037","=""17037""","56685"
"De Witt","IL","17039","=""17039""","47066"
"Douglas","IL","17041","=""17041""","N/A"
"DuPage","IL","17043","=""17043""","78555"
"Edgar","IL","17045","=""17045""","31918"
"Edwards","IL","17047","=""17047""","33795"
"Effingham","IL","17049","=""17049""","48170"
"Fayette","IL","17051","=""17051""","35155"
"Ford","IL","17053","=""17053""","39800"
"Franklin","IL","17055","=""17055""","45721"
"Fulton","IL","17057","=""17057""","42675"
"Gallatin","IL","17059","=""17059""","N/A"
